"","day","count","number_sharks"
"2","2014-04-09","5","1"
"3","2014-04-10","2","1"
"4","2014-06-16","1","1"
"5","2015-03-31","1","1"
"6","2015-04-01","2","1"
"7","2018-03-26","1","1"
"8","2018-03-27","2","1"
"9","2018-03-28","3","1"
"10","2018-03-29","3","1"
"11","2018-03-30","3","1"
"12","2018-03-31","3","1"
"13","2018-04-01","1","1"
"14","2018-04-15","1","1"
"15","2018-04-16","2","1"
"16","2018-04-17","2","2"
"17","2018-04-18","2","1"
"18","2018-04-24","1","1"
"19","2018-04-25","1","1"
"20","2018-04-26","5","4"
"21","2018-04-27","9","5"
"22","2018-04-28","10","5"
"23","2018-05-08","1","1"
"24","2018-05-14","1","1"
"25","2018-06-15","1","1"
"26","2018-06-16","2","1"
"27","2018-06-19","1","1"
"28","2018-06-21","1","1"
